state_code,state_name,total_loss_threshold_pct,vehicle_age_min_yrs,vehicle_age_max_yrs,vehicle_age_category,threshold_rule,salvage_value_typical_pct_acv,roadguard_settlement_basis,notes
IL,Illinois,75%,0,1,New (0-1 year),75,34,ACV minus deductible,
IL,Illinois,75%,2,3,Nearly New (2-3 years),75,30,ACV minus deductible,
IL,Illinois,75%,4,6,Mid-age (4-6 years),75,29,ACV minus deductible,
IL,Illinois,75%,7,10,Older (7-10 years),75,23,ACV minus deductible,
IL,Illinois,75%,11,15,High Age (11-15 years),75,16,ACV minus deductible (depreciation schedule applied),Aged vehicles: ACV may be low; confirm with adjuster before authorizing repairs
IL,Illinois,75%,16,99,Classic/Aged (16+ years),75,6,ACV minus deductible (depreciation schedule applied),Aged vehicles: ACV may be low; confirm with adjuster before authorizing repairs
CA,California,75%,0,1,New (0-1 year),75,33,ACV minus deductible,
CA,California,75%,2,3,Nearly New (2-3 years),75,33,ACV minus deductible,
CA,California,75%,4,6,Mid-age (4-6 years),75,25,ACV minus deductible,
CA,California,75%,7,10,Older (7-10 years),75,23,ACV minus deductible,
CA,California,75%,11,15,High Age (11-15 years),75,11,ACV minus deductible (depreciation schedule applied),Aged vehicles: ACV may be low; confirm with adjuster before authorizing repairs
CA,California,75%,16,99,Classic/Aged (16+ years),75,6,ACV minus deductible (depreciation schedule applied),Aged vehicles: ACV may be low; confirm with adjuster before authorizing repairs
TX,Texas,100%,0,1,New (0-1 year),100,33,ACV minus deductible,State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
TX,Texas,100%,2,3,Nearly New (2-3 years),100,33,ACV minus deductible,State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
TX,Texas,100%,4,6,Mid-age (4-6 years),100,29,ACV minus deductible,State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
TX,Texas,100%,7,10,Older (7-10 years),100,19,ACV minus deductible,State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
TX,Texas,100%,11,15,High Age (11-15 years),100,11,ACV minus deductible (depreciation schedule applied),State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
TX,Texas,100%,16,99,Classic/Aged (16+ years),100,5,ACV minus deductible (depreciation schedule applied),State uses actual total loss rule; repair + storage must equal or exceed ACV before total loss declared
FL,Florida,80%,0,1,New (0-1 year),80,36,ACV minus deductible,
FL,Florida,80%,2,3,Nearly New (2-3 years),80,34,ACV minus deductible,
FL,Florida,80%,4,6,Mid-age (4-6 years),80,25,ACV minus deductible,
FL,Florida,80%,7,10,Older (7-10 years),80,23,ACV minus deductible,
