damage_type,coverage_type,vehicle_category,repair_cost_low_usd,repair_cost_high_usd,repair_cost_avg_usd,typical_labor_hours,parts_availability,notes
Front bumper replacement,Collision,Economy/Compact,650,1850,1250,3.4,Ready (1-2 days),
Front bumper replacement,Collision,Mid-size Sedan,800,2200,1500,6.9,Ready (1-2 days),
Front bumper replacement,Collision,Full-size Sedan,850,2400,1600,6.2,Ready (1-2 days),
Front bumper replacement,Collision,Compact SUV/Crossover,900,2500,1700,1.6,Standard (3-5 days),
Front bumper replacement,Collision,Mid-size SUV,1000,2750,1850,1.4,Ready (1-2 days),
Front bumper replacement,Collision,Full-size SUV/Truck,1100,3050,2050,1.9,Ready (1-2 days),
Front bumper replacement,Collision,Luxury Sedan,1300,3600,2450,7.5,Extended (1-2 weeks),
Front bumper replacement,Collision,Luxury SUV,1400,3950,2650,3.1,Ready (1-2 days),
Rear bumper replacement,Collision,Economy/Compact,550,1700,1100,5.0,Extended (1-2 weeks),
Rear bumper replacement,Collision,Mid-size Sedan,700,2000,1350,5.6,Ready (1-2 days),
Rear bumper replacement,Collision,Full-size Sedan,750,2200,1450,9.5,Ready (1-2 days),
Rear bumper replacement,Collision,Compact SUV/Crossover,800,2300,1550,9.0,Ready (1-2 days),
Rear bumper replacement,Collision,Mid-size SUV,850,2500,1650,2.4,Ready (1-2 days),
Rear bumper replacement,Collision,Full-size SUV/Truck,950,2800,1850,4.5,Extended (1-2 weeks),
Rear bumper replacement,Collision,Luxury Sedan,1150,3300,2200,3.5,Standard (3-5 days),
Rear bumper replacement,Collision,Luxury SUV,1250,3600,2400,10.6,Ready (1-2 days),
Front bumper repair (minor),Collision,Economy/Compact,150,500,300,1.5,Ready (1-2 days),
Front bumper repair (minor),Collision,Mid-size Sedan,200,600,400,1.1,Ready (1-2 days),
Front bumper repair (minor),Collision,Full-size Sedan,200,650,400,2.1,Ready (1-2 days),
Front bumper repair (minor),Collision,Compact SUV/Crossover,200,650,400,1.5,Standard (3-5 days),
Front bumper repair (minor),Collision,Mid-size SUV,250,750,500,2.1,Ready (1-2 days),
Front bumper repair (minor),Collision,Full-size SUV/Truck,250,800,500,2.9,Standard (3-5 days),
Front bumper repair (minor),Collision,Luxury Sedan,300,950,600,1.7,Standard (3-5 days),
Front bumper repair (minor),Collision,Luxury SUV,350,1050,700,2.9,Extended (1-2 weeks),
Hood replacement,Collision,Economy/Compact,750,2350,1550,7.8,Ready (1-2 days),
Hood replacement,Collision,Mid-size Sedan,900,2800,1850,12.1,Ready (1-2 days),
Hood replacement,Collision,Full-size Sedan,950,3050,2000,6.2,Standard (3-5 days),
Hood replacement,Collision,Compact SUV/Crossover,1000,3200,2100,3.0,Ready (1-2 days),
Hood replacement,Collision,Mid-size SUV,1100,3500,2300,1.6,Standard (3-5 days),
Hood replacement,Collision,Full-size SUV/Truck,1250,3900,2550,13.2,Standard (3-5 days),
Hood replacement,Collision,Luxury Sedan,1450,4600,3000,17.6,Ready (1-2 days),
Hood replacement,Collision,Luxury SUV,1600,5000,3300,15.6,Standard (3-5 days),
Hood dent repair,Collision,Economy/Compact,250,750,500,2.4,Ready (1-2 days),
Hood dent repair,Collision,Mid-size Sedan,300,900,600,3.5,Extended (1-2 weeks),
Hood dent repair,Collision,Full-size Sedan,300,950,600,2.4,Standard (3-5 days),
Hood dent repair,Collision,Compact SUV/Crossover,300,1000,650,1.2,Standard (3-5 days),
Hood dent repair,Collision,Mid-size SUV,350,1100,700,3.4,Specialty (2-4 weeks),
Hood dent repair,Collision,Full-size SUV/Truck,400,1250,800,4.6,Ready (1-2 days),
Hood dent repair,Collision,Luxury Sedan,450,1450,950,3.1,Standard (3-5 days),
Hood dent repair,Collision,Luxury SUV,500,1600,1050,1.1,Ready (1-2 days),
Fender replacement (front),Collision,Economy/Compact,400,1500,950,1.9,Ready (1-2 days),
Fender replacement (front),Collision,Mid-size Sedan,500,1800,1150,1.4,Standard (3-5 days),
Fender replacement (front),Collision,Full-size Sedan,550,1950,1250,1.9,Ready (1-2 days),
Fender replacement (front),Collision,Compact SUV/Crossover,550,2050,1300,4.0,Extended (1-2 weeks),
Fender replacement (front),Collision,Mid-size SUV,600,2250,1400,1.7,Ready (1-2 days),
Fender replacement (front),Collision,Full-size SUV/Truck,700,2500,1600,6.3,Extended (1-2 weeks),
Fender replacement (front),Collision,Luxury Sedan,800,2950,1850,10.3,Extended (1-2 weeks),
Fender replacement (front),Collision,Luxury SUV,900,3200,2050,4.5,Ready (1-2 days),
Fender repair (minor dent),Collision,Economy/Compact,100,400,250,1.4,Extended (1-2 weeks),
Fender repair (minor dent),Collision,Mid-size Sedan,150,500,300,2.0,Ready (1-2 days),
Fender repair (minor dent),Collision,Full-size Sedan,150,550,350,1.2,Ready (1-2 days),
Fender repair (minor dent),Collision,Compact SUV/Crossover,150,550,350,1.3,Ready (1-2 days),
Fender repair (minor dent),Collision,Mid-size SUV,150,600,350,1.8,Ready (1-2 days),
Fender repair (minor dent),Collision,Full-size SUV/Truck,200,700,450,1.0,Ready (1-2 days),
Fender repair (minor dent),Collision,Luxury Sedan,200,800,500,1.9,Standard (3-5 days),
Fender repair (minor dent),Collision,Luxury SUV,250,900,550,3.5,Standard (3-5 days),
Door replacement (front),Collision,Economy/Compact,650,2100,1350,5.1,Standard (3-5 days),
Door replacement (front),Collision,Mid-size Sedan,800,2500,1650,7.8,Ready (1-2 days),
Door replacement (front),Collision,Full-size Sedan,850,2750,1800,10.9,Standard (3-5 days),
Door replacement (front),Collision,Compact SUV/Crossover,900,2850,1850,10.9,Standard (3-5 days),
Door replacement (front),Collision,Mid-size SUV,1000,3100,2050,6.0,Ready (1-2 days),
Door replacement (front),Collision,Full-size SUV/Truck,1100,3500,2300,2.5,Standard (3-5 days),
Door replacement (front),Collision,Luxury Sedan,1300,4100,2700,2.1,Ready (1-2 days),
Door replacement (front),Collision,Luxury SUV,1400,4500,2950,4.9,Ready (1-2 days),
Door replacement (rear),Collision,Economy/Compact,550,1850,1200,3.4,Ready (1-2 days),
Door replacement (rear),Collision,Mid-size Sedan,700,2200,1450,1.0,Ready (1-2 days),
Door replacement (rear),Collision,Full-size Sedan,750,2400,1550,1.9,Ready (1-2 days),
Door replacement (rear),Collision,Compact SUV/Crossover,800,2500,1650,1.3,Extended (1-2 weeks),
Door replacement (rear),Collision,Mid-size SUV,850,2750,1800,7.8,Ready (1-2 days),
Door replacement (rear),Collision,Full-size SUV/Truck,950,3050,2000,4.1,Ready (1-2 days),
Door replacement (rear),Collision,Luxury Sedan,1150,3600,2350,6.3,Ready (1-2 days),
Door replacement (rear),Collision,Luxury SUV,1250,3950,2600,14.9,Specialty (2-4 weeks),
Door dent repair (paintless),Collision,Economy/Compact,50,300,150,1.5,Ready (1-2 days),
Door dent repair (paintless),Collision,Mid-size Sedan,100,400,250,1.1,Ready (1-2 days),
Door dent repair (paintless),Collision,Full-size Sedan,100,400,250,1.3,Ready (1-2 days),
Door dent repair (paintless),Collision,Compact SUV/Crossover,100,450,250,1.8,Ready (1-2 days),
Door dent repair (paintless),Collision,Mid-size SUV,100,500,300,1.0,Specialty (2-4 weeks),
Door dent repair (paintless),Collision,Full-size SUV/Truck,100,550,300,1.5,Ready (1-2 days),
Door dent repair (paintless),Collision,Luxury Sedan,150,650,400,1.9,Ready (1-2 days),
Door dent repair (paintless),Collision,Luxury SUV,150,700,400,1.9,Specialty (2-4 weeks),
Trunk lid replacement,Collision,Economy/Compact,500,1500,1000,5.9,Standard (3-5 days),
Trunk lid replacement,Collision,Mid-size Sedan,600,1800,1200,2.8,Ready (1-2 days),
Trunk lid replacement,Collision,Full-size Sedan,650,1950,1300,2.3,Standard (3-5 days),
Trunk lid replacement,Collision,Compact SUV/Crossover,650,2050,1350,5.3,Standard (3-5 days),
Trunk lid replacement,Collision,Mid-size SUV,750,2250,1500,4.0,Ready (1-2 days),
Trunk lid replacement,Collision,Full-size SUV/Truck,800,2500,1650,9.1,Specialty (2-4 weeks),
Trunk lid replacement,Collision,Luxury Sedan,950,2950,1950,11.2,Extended (1-2 weeks),
Trunk lid replacement,Collision,Luxury SUV,1050,3200,2100,11.6,Standard (3-5 days),
Quarter panel repair,Collision,Economy/Compact,300,1150,700,1.8,Standard (3-5 days),
Quarter panel repair,Collision,Mid-size Sedan,400,1400,900,2.8,Ready (1-2 days),
Quarter panel repair,Collision,Full-size Sedan,400,1500,950,1.1,Ready (1-2 days),
Quarter panel repair,Collision,Compact SUV/Crossover,450,1600,1000,2.5,Standard (3-5 days),
Quarter panel repair,Collision,Mid-size SUV,500,1750,1100,7.1,Ready (1-2 days),
Quarter panel repair,Collision,Full-size SUV/Truck,550,1950,1250,7.9,Specialty (2-4 weeks),
Quarter panel repair,Collision,Luxury Sedan,650,2300,1450,9.3,Ready (1-2 days),
Quarter panel repair,Collision,Luxury SUV,700,2500,1600,3.1,Ready (1-2 days),
Quarter panel replacement,Collision,Economy/Compact,1000,2950,1950,3.4,Ready (1-2 days),
